step,value
5,9.93991756439209
16,9.55126285552979
23,9.1572380065918
28,8.95094203948975
37,8.45438957214356
56,7.72946882247925
66,8.13666820526123
69,7.51709413528442
72,7.59094142913818
78,7.60905265808106
81,7.31263208389282
85,7.43424415588379
104,7.63467025756836
107,7.42498922348022
142,7.46582794189453
145,7.34241914749146
146,7.16987752914429
151,7.20685005187988
156,7.68156862258911
171,7.43980979919434
175,7.25870609283447
188,7.311692237854
202,7.08143424987793
213,7.4052004814148
219,6.94411945343018
227,7.53505516052246
252,7.0157995223999
257,7.18746185302734
305,7.13982439041138
324,7.12067794799805
327,7.20705413818359
338,6.83048439025879
340,7.02723693847656
353,6.97366237640381
376,6.31364488601685
378,7.09777736663818
405,7.14528465270996
420,6.51413774490356
424,6.5970892906189
429,7.09460735321045
436,6.2846302986145
450,6.71357679367065
456,6.53898620605469
485,6.71979904174805
496,6.73261737823486
522,6.7492094039917
526,6.65257120132446
530,6.90385246276856
538,6.94285202026367
560,6.4292049407959
564,6.95376777648926
590,6.48529291152954
596,6.77141427993774
606,6.5032844543457
608,6.55003595352173
615,6.92468738555908
633,6.98588180541992
650,6.35797786712647
652,6.56662225723267
653,6.2662672996521
666,6.50496816635132
668,6.59841251373291
691,6.157639503479
707,7.09062623977661
709,6.67492532730103
735,6.56851959228516
752,6.91833877563477
757,6.67081451416016
759,6.68385410308838
765,6.96600818634033
773,6.63626146316528
781,6.51936817169189
785,6.35078716278076
793,6.53449249267578
817,6.63099813461304
826,6.58484697341919
829,6.60498428344727
839,6.05650854110718
843,6.83170175552368
847,6.44717597961426
849,6.64947843551636
851,6.95297908782959
854,6.80454111099243
867,6.71037101745606
875,6.05986309051514
877,6.59481143951416
884,6.51340627670288
900,6.33545303344727
914,6.64670991897583
921,6.6517128944397
926,6.69207859039307
957,6.75361251831055
983,6.53101587295532
999,6.91148710250855
1026,6.25334739685059
1034,6.48926448822022
1040,6.55175256729126
1057,6.3475079536438
1062,6.44947290420532
1069,6.18460845947266
1080,6.17443752288818
1087,6.75700664520264
1092,6.42193174362183
1129,6.36347150802612
1155,6.64152908325195
1178,6.80857133865356
1195,6.45150756835938
1218,6.26708364486694
1222,6.64926433563232
1237,6.40587377548218
1267,6.4898567199707
1291,6.66374921798706
1303,6.13392925262451
1327,6.21744918823242
1335,6.41266918182373
1338,6.43915748596191
1353,6.20991563796997
1357,6.5073733329773
1391,6.46441888809204
1400,6.5107479095459
1410,6.28962755203247
1412,6.36370658874512
1421,5.96491479873657
1437,6.65634346008301
1439,6.14915084838867
1475,6.09985542297363
1483,6.58108568191528
1485,6.67243099212647
1499,6.25762701034546
1514,6.16150712966919
1520,6.31827735900879
1559,6.40544319152832
1577,6.65397214889526
1579,5.85914850234985
1610,6.39346885681152
1625,6.10216999053955
1628,5.34767484664917
1634,6.5397686958313
1635,6.34775066375732
1638,5.77551126480103
1655,6.5387659072876
1668,6.54126596450806
1690,6.14305877685547
1697,6.34395408630371
